year,modeled_scenario,Total15plus,Total15to49,indicator,mean,upper_CI,lower_CI,type,group
2083,Status quo,63331255,36156947.5,ARTcoverage15to49,NA,0.744580075,NA,ART coverage,15-49 years
2083,Status quo,63331255,36156947.5,ARTcoverageAdult,NA,0.801960575,NA,ART coverage,15+ years
2083,Status quo,63331255,36156947.5,HIVinc15plus,NA,3.7946425e-4,NA,HIV incidence,15+ years
2083,Status quo,63331255,36156947.5,HIVinc15to49,NA,3.4877970000000004e-4,NA,HIV incidence,15-49 years
2083,Status quo,63331255,36156947.5,IncPrevRatio15plus,NA,0.00910330824999999,NA,Incidence:Prevalence ratio,15+ years
2083,Status quo,63331255,36156947.5,IncPrevRatio15to49,NA,0.0354183675,NA,Incidence:Prevalence ratio,15-49 years
2083,Status quo,63331255,36156947.5,NewAdultHIV,NA,23076.0375,NA,New HIV infections,15-49 years
2083,Status quo,63331255,36156947.5,NewHIV15to49,NA,12459.235,NA,New HIV infections,15+ years
2083,Status quo,63331255,36156947.5,Prev15plus,NA,0.040080235,NA,HIV prevalence,15+ years
2083,Status quo,63331255,36156947.5,Prev15to49,NA,0.009751181,NA,HIV prevalence,15-49 years
2083,Status quo,63331255,36156947.5,TotHIV15,NA,2535354.75,NA,Total living with HIV,15+ years
2083,Status quo,63331255,36156947.5,TotHIV15to49,NA,351769.80000000005,NA,Total living with HIV,15-49 years
2083,Status quo,63041190,35975822.5,ARTcoverage15to49,NA,NA,0.6965817249999999,ART coverage,15-49 years
2083,Status quo,63041190,35975822.5,ARTcoverageAdult,NA,NA,0.7859404,ART coverage,15+ years
2083,Status quo,63041190,35975822.5,HIVinc15plus,NA,NA,2.112586e-4,HIV incidence,15+ years
2083,Status quo,63041190,35975822.5,HIVinc15to49,NA,NA,1.48648175e-4,HIV incidence,15-49 years
2083,Status quo,63041190,35975822.5,IncPrevRatio15plus,NA,NA,0.00620550624999999,Incidence:Prevalence ratio,15+ years
2083,Status quo,63041190,35975822.5,IncPrevRatio15to49,NA,NA,0.0262015525,Incidence:Prevalence ratio,15-49 years
2083,Status quo,63041190,35975822.5,NewAdultHIV,NA,NA,12930.3975,New HIV infections,15-49 years
2083,Status quo,63041190,35975822.5,NewHIV15to49,NA,NA,5336.856,New HIV infections,15+ years
2083,Status quo,63041190,35975822.5,Prev15plus,NA,NA,0.032871175,HIV prevalence,15+ years
2083,Status quo,63041190,35975822.5,Prev15to49,NA,NA,0.00564062375,HIV prevalence,15-49 years
2083,Status quo,63041190,35975822.5,TotHIV15,NA,NA,2079965.25,Total living with HIV,15+ years
2083,Status quo,63041190,35975822.5,TotHIV15to49,NA,NA,203665.15,Total living with HIV,15-49 years
2084,Status quo,63235290,36011920,ARTcoverage15to49,0.7176046,NA,NA,ART coverage,15-49 years
2084,Status quo,63235290,36011920,ARTcoverageAdult,0.7943340999999999,NA,NA,ART coverage,15+ years
2084,Status quo,63235290,36011920,HIVinc15plus,2.819306e-4,NA,NA,HIV incidence,15+ years
2084,Status quo,63235290,36011920,HIVinc15to49,2.441385e-4,NA,NA,HIV incidence,15-49 years
2084,Status quo,63235290,36011920,IncPrevRatio15plus,0.007800971,NA,NA,Incidence:Prevalence ratio,15+ years
2084,Status quo,63235290,36011920,IncPrevRatio15to49,0.03154781,NA,NA,Incidence:Prevalence ratio,15-49 years
2084,Status quo,63235290,36011920,NewAdultHIV,17237.04,NA,NA,New HIV infections,15-49 years
2084,Status quo,63235290,36011920,NewHIV15to49,8723.658,NA,NA,New HIV infections,15+ years
2084,Status quo,63235290,36011920,Prev15plus,0.03459868,NA,NA,HIV prevalence,15+ years
2084,Status quo,63235290,36011920,Prev15to49,0.007550362,NA,NA,HIV prevalence,15-49 years
2084,Status quo,63235290,36011920,TotHIV15,2187877,NA,NA,Total living with HIV,15+ years
2084,Status quo,63235290,36011920,TotHIV15to49,271925.9,NA,NA,Total living with HIV,15-49 years
2084,Status quo,63373005,36087947.5,ARTcoverage15to49,NA,0.744445575,NA,ART coverage,15-49 years
2084,Status quo,63373005,36087947.5,ARTcoverageAdult,NA,0.80199595,NA,ART coverage,15+ years
2084,Status quo,63373005,36087947.5,HIVinc15plus,NA,3.65309525e-4,NA,HIV incidence,15+ years
2084,Status quo,63373005,36087947.5,HIVinc15to49,NA,3.3769017500000003e-4,NA,HIV incidence,15-49 years
2084,Status quo,63373005,36087947.5,IncPrevRatio15plus,NA,0.00918423075,NA,Incidence:Prevalence ratio,15+ years
2084,Status quo,63373005,36087947.5,IncPrevRatio15to49,NA,0.035693615,NA,Incidence:Prevalence ratio,15-49 years
2084,Status quo,63373005,36087947.5,NewAdultHIV,NA,22271.24,NA,New HIV infections,15-49 years
2084,Status quo,63373005,36087947.5,NewHIV15to49,NA,12045.1,NA,New HIV infections,15+ years
2084,Status quo,63373005,36087947.5,Prev15plus,NA,0.0383038825,NA,HIV prevalence,15+ years
2084,Status quo,63373005,36087947.5,Prev15to49,NA,0.00937184175,NA,HIV prevalence,15-49 years
2084,Status quo,63373005,36087947.5,TotHIV15,NA,2424674.5,NA,Total living with HIV,15+ years
2084,Status quo,63373005,36087947.5,TotHIV15to49,NA,337450.025,NA,Total living with HIV,15-49 years
2084,Status quo,63082715,35907422.5,ARTcoverage15to49,NA,NA,0.695729625,ART coverage,15-49 years
2084,Status quo,63082715,35907422.5,ARTcoverageAdult,NA,NA,0.7856474999999999,ART coverage,15+ years
2084,Status quo,63082715,35907422.5,HIVinc15plus,NA,NA,2.00208475e-4,HIV incidence,15+ years
2084,Status quo,63082715,35907422.5,HIVinc15to49,NA,NA,1.4041305e-4,HIV incidence,15-49 years
2084,Status quo,63082715,35907422.5,IncPrevRatio15plus,NA,NA,0.00621180725,Incidence:Prevalence ratio,15+ years
2084,Status quo,63082715,35907422.5,IncPrevRatio15to49,NA,NA,0.02625183,Incidence:Prevalence ratio,15-49 years
2084,Status quo,63082715,35907422.5,NewAdultHIV,NA,NA,12283.3625,New HIV infections,15-49 years
2084,Status quo,63082715,35907422.5,NewHIV15to49,NA,NA,5033.060750000001,New HIV infections,15+ years
2084,Status quo,63082715,35907422.5,Prev15plus,NA,NA,0.0311457,HIV prevalence,15+ years
2084,Status quo,63082715,35907422.5,Prev15to49,NA,NA,0.0053196375,HIV prevalence,15-49 years
2084,Status quo,63082715,35907422.5,TotHIV15,NA,NA,1972623.25,Total living with HIV,15+ years
2084,Status quo,63082715,35907422.5,TotHIV15to49,NA,NA,191703.475,Total living with HIV,15-49 years
2085,Status quo,63271510,35938280,ARTcoverage15to49,0.717,NA,NA,ART coverage,15-49 years
2085,Status quo,63271510,35938280,ARTcoverageAdult,0.794169,NA,NA,ART coverage,15+ years
2085,Status quo,63271510,35938280,HIVinc15plus,2.700123e-4,NA,NA,HIV incidence,15+ years
2085,Status quo,63271510,35938280,HIVinc15to49,2.344696e-4,NA,NA,HIV incidence,15-49 years
2085,Status quo,63271510,35938280,IncPrevRatio15plus,0.007853803,NA,NA,Incidence:Prevalence ratio,15+ years
2085,Status quo,63271510,35938280,IncPrevRatio15to49,0.03173227,NA,NA,Incidence:Prevalence ratio,15-49 years
2085,Status quo,63271510,35938280,NewAdultHIV,16545.75,NA,NA,New HIV infections,15-49 years
2085,Status quo,63271510,35938280,NewHIV15to49,8363.957,NA,NA,New HIV infections,15+ years
2085,Status quo,63271510,35938280,Prev15plus,0.03295241,NA,NA,HIV prevalence,15+ years
2085,Status quo,63271510,35938280,Prev15to49,0.007205802,NA,NA,HIV prevalence,15-49 years
2085,Status quo,63271510,35938280,TotHIV15,2084973,NA,NA,Total living with HIV,15+ years
2085,Status quo,63271510,35938280,TotHIV15to49,258987,NA,NA,Total living with HIV,15-49 years
2085,Status quo,63408722.5,36013870,ARTcoverage15to49,NA,0.74429395,NA,ART coverage,15-49 years
2085,Status quo,63408722.5,36013870,ARTcoverageAdult,NA,0.8020238749999999,NA,ART coverage,15+ years
2085,Status quo,63408722.5,36013870,HIVinc15plus,NA,3.5176960000000003e-4,NA,HIV incidence,15+ years
2085,Status quo,63408722.5,36013870,HIVinc15to49,NA,3.27103275e-4,NA,HIV incidence,15-49 years
2085,Status quo,63408722.5,36013870,IncPrevRatio15plus,NA,0.00926933225,NA,Incidence:Prevalence ratio,15+ years
2085,Status quo,63408722.5,36013870,IncPrevRatio15to49,NA,0.03598257,NA,Incidence:Prevalence ratio,15-49 years
2085,Status quo,63408722.5,36013870,NewAdultHIV,NA,21496.35,NA,New HIV infections,15-49 years
2085,Status quo,63408722.5,36013870,NewHIV15to49,NA,11648.135,NA,New HIV infections,15+ years
2085,Status quo,63408722.5,36013870,Prev15plus,NA,0.03659759999999999,NA,HIV prevalence,15+ years
2085,Status quo,63408722.5,36013870,Prev15to49,NA,0.009008292,NA,HIV prevalence,15-49 years
2085,Status quo,63408722.5,36013870,TotHIV15,NA,2318072.25,NA,Total living with HIV,15+ years
2085,Status quo,63408722.5,36013870,TotHIV15to49,NA,323703.775,NA,Total living with HIV,15-49 years
2085,Status quo,63118440,35834100,ARTcoverage15to49,NA,NA,0.6948378500000001,ART coverage,15-49 years
2085,Status quo,63118440,35834100,ARTcoverageAdult,NA,NA,0.785331925,ART coverage,15+ years
2085,Status quo,63118440,35834100,HIVinc15plus,NA,NA,1.8970275e-4,HIV incidence,15+ years
2085,Status quo,63118440,35834100,HIVinc15to49,NA,NA,1.326124e-4,HIV incidence,15-49 years
2085,Status quo,63118440,35834100,IncPrevRatio15plus,NA,NA,0.00621948375,Incidence:Prevalence ratio,15+ years
2085,Status quo,63118440,35834100,IncPrevRatio15to49,NA,NA,0.02630971,Incidence:Prevalence ratio,15-49 years
2085,Status quo,63118440,35834100,NewAdultHIV,NA,NA,11664.5425,New HIV infections,15-49 years
2085,Status quo,63118440,35834100,NewHIV15to49,NA,NA,4745.04825,New HIV infections,15+ years
2085,Status quo,63118440,35834100,Prev15plus,NA,NA,0.02949603499999999,HIV prevalence,15+ years
2085,Status quo,63118440,35834100,Prev15to49,NA,NA,0.0050145845,HIV prevalence,15-49 years
2085,Status quo,63118440,35834100,TotHIV15,NA,NA,1869176.5,Total living with HIV,15+ years
2085,Status quo,63118440,35834100,TotHIV15to49,NA,NA,180334.9,Total living with HIV,15-49 years
2086,Status quo,63301490,35859310,ARTcoverage15to49,0.7163604,NA,NA,ART coverage,15-49 years
2086,Status quo,63301490,35859310,ARTcoverageAdult,0.793987,NA,NA,ART coverage,15+ years
2086,Status quo,63301490,35859310,HIVinc15plus,2.58636e-4,NA,NA,HIV incidence,15+ years
2086,Status quo,63301490,35859310,HIVinc15to49,2.25252e-4,NA,NA,HIV incidence,15-49 years
2086,Status quo,63301490,35859310,IncPrevRatio15plus,0.007909589,NA,NA,Incidence:Prevalence ratio,15+ years
2086,Status quo,63301490,35859310,IncPrevRatio15to49,0.0319289,NA,NA,Incidence:Prevalence ratio,15-49 years
2086,Status quo,63301490,35859310,NewAdultHIV,15881.77,NA,NA,New HIV infections,15-49 years
2086,Status quo,63301490,35859310,NewHIV15to49,8020.162,NA,NA,New HIV infections,15+ years
2086,Status quo,63301490,35859310,Prev15plus,0.03137557,NA,NA,HIV prevalence,15+ years
2086,Status quo,63301490,35859310,Prev15to49,0.006876335,NA,NA,HIV prevalence,15-49 years
2086,Status quo,63301490,35859310,TotHIV15,1986144,NA,NA,Total living with HIV,15+ years
2086,Status quo,63301490,35859310,TotHIV15to49,246603.2,NA,NA,Total living with HIV,15-49 years
2086,Status quo,63438140,35934515,ARTcoverage15to49,NA,0.7441222000000001,NA,ART coverage,15-49 years
2086,Status quo,63438140,35934515,ARTcoverageAdult,NA,0.8020428,NA,ART coverage,15+ years
2086,Status quo,63438140,35934515,HIVinc15plus,NA,3.3881435e-4,NA,HIV incidence,15+ years
2086,Status quo,63438140,35934515,HIVinc15to49,NA,3.16996e-4,NA,HIV incidence,15-49 years
2086,Status quo,63438140,35934515,IncPrevRatio15plus,NA,0.00935868375,NA,Incidence:Prevalence ratio,15+ years
2086,Status quo,63438140,35934515,IncPrevRatio15to49,NA,0.0362857775,NA,Incidence:Prevalence ratio,15-49 years
2086,Status quo,63438140,35934515,NewAdultHIV,NA,20749.745000000003,NA,New HIV infections,15-49 years
2086,Status quo,63438140,35934515,NewHIV15to49,NA,11267.5625,NA,New HIV infections,15+ years
2086,Status quo,63438140,35934515,Prev15plus,NA,0.03495922,NA,HIV prevalence,15+ years
2086,Status quo,63438140,35934515,Prev15to49,NA,0.0086598995,NA,HIV prevalence,15-49 years
2086,Status quo,63438140,35934515,TotHIV15,NA,2215415.75,NA,Total living with HIV,15+ years
2086,Status quo,63438140,35934515,TotHIV15to49,NA,310507.82499999995,NA,Total living with HIV,15-49 years
2086,Status quo,63147887.5,35755355,ARTcoverage15to49,NA,NA,0.6939051749999999,ART coverage,15-49 years
2086,Status quo,63147887.5,35755355,ARTcoverageAdult,NA,NA,0.784992675,ART coverage,15+ years
2086,Status quo,63147887.5,35755355,HIVinc15plus,NA,NA,1.797102e-4,HIV incidence,15+ years
2086,Status quo,63147887.5,35755355,HIVinc15to49,NA,NA,1.25225775e-4,HIV incidence,15-49 years
2086,Status quo,63147887.5,35755355,IncPrevRatio15plus,NA,NA,0.00622844875,Incidence:Prevalence ratio,15+ years
2086,Status quo,63147887.5,35755355,IncPrevRatio15to49,NA,NA,0.0263759475,Incidence:Prevalence ratio,15-49 years
2086,Status quo,63147887.5,35755355,NewAdultHIV,NA,NA,11072.725000000002,New HIV infections,15-49 years
2086,Status quo,63147887.5,35755355,NewHIV15to49,NA,NA,4472.05525,New HIV infections,15+ years
2086,Status quo,63147887.5,35755355,Prev15plus,NA,NA,0.0279194475,HIV prevalence,15+ years
2086,Status quo,63147887.5,35755355,Prev15to49,NA,NA,0.0047247305,HIV prevalence,15-49 years
2086,Status quo,63147887.5,35755355,TotHIV15,NA,NA,1770071.25,Total living with HIV,15+ years
2086,Status quo,63147887.5,35755355,TotHIV15to49,NA,NA,169532.65,Total living with HIV,15-49 years
2087,Status quo,63324800,35774890,ARTcoverage15to49,0.7156838,NA,NA,ART coverage,15-49 years
2087,Status quo,63324800,35774890,ARTcoverageAdult,0.7937875,NA,NA,ART coverage,15+ years
2087,Status quo,63324800,35774890,HIVinc15plus,2.4776189999999997e-4,NA,NA,HIV incidence,15+ years
2087,Status quo,63324800,35774890,HIVinc15to49,2.164652e-4,NA,NA,HIV incidence,15-49 years
2087,Status quo,63324800,35774890,IncPrevRatio15plus,0.007968013,NA,NA,Incidence:Prevalence ratio,15+ years
2087,Status quo,63324800,35774890,IncPrevRatio15to49,0.0321378,NA,NA,Incidence:Prevalence ratio,15-49 years
2087,Status quo,63324800,35774890,NewAdultHIV,15243.18,NA,NA,New HIV infections,15-49 years
2087,Status quo,63324800,35774890,NewHIV15to49,7691.630999999999,NA,NA,New HIV infections,15+ years
2087,Status quo,63324800,35774890,Prev15plus,0.02986538,NA,NA,HIV prevalence,15+ years
2087,Status quo,63324800,35774890,Prev15to49,0.006561447,NA,NA,HIV prevalence,15-49 years
2087,Status quo,63324800,35774890,TotHIV15,1891242,NA,NA,Total living with HIV,15+ years
2087,Status quo,63324800,35774890,TotHIV15to49,234757.8,NA,NA,Total living with HIV,15-49 years
2087,Status quo,63460780,35849815,ARTcoverage15to49,NA,0.743929325,NA,ART coverage,15-49 years
2087,Status quo,63460780,35849815,ARTcoverageAdult,NA,0.802054275,NA,ART coverage,15+ years
2087,Status quo,63460780,35849815,HIVinc15plus,NA,3.2640167499999994e-4,NA,HIV incidence,15+ years
2087,Status quo,63460780,35849815,HIVinc15to49,NA,3.073458e-4,NA,HIV incidence,15-49 years
2087,Status quo,63460780,35849815,IncPrevRatio15plus,NA,0.00945204425,NA,Incidence:Prevalence ratio,15+ years
2087,Status quo,63460780,35849815,IncPrevRatio15to49,NA,0.0366029825,NA,Incidence:Prevalence ratio,15-49 years
2087,Status quo,63460780,35849815,NewAdultHIV,NA,20029.625,NA,New HIV infections,15-49 years
2087,Status quo,63460780,35849815,NewHIV15to49,NA,10902.815,NA,New HIV infections,15+ years
2087,Status quo,63460780,35849815,Prev15plus,NA,0.0333860875,NA,HIV prevalence,15+ years
2087,Status quo,63460780,35849815,Prev15to49,NA,0.008326161,NA,HIV prevalence,15-49 years
2087,Status quo,63460780,35849815,TotHIV15,NA,2116567.25,NA,Total living with HIV,15+ years
2087,Status quo,63460780,35849815,TotHIV15to49,NA,297845.85,NA,Total living with HIV,15-49 years
2087,Status quo,63170442.5,35671132.5,ARTcoverage15to49,NA,NA,0.69292905,ART coverage,15-49 years
2087,Status quo,63170442.5,35671132.5,ARTcoverageAdult,NA,NA,0.78462975,ART coverage,15+ years
2087,Status quo,63170442.5,35671132.5,HIVinc15plus,NA,NA,1.701918e-4,HIV incidence,15+ years
2087,Status quo,63170442.5,35671132.5,HIVinc15to49,NA,NA,1.182324e-4,HIV incidence,15-49 years
2087,Status quo,63170442.5,35671132.5,IncPrevRatio15plus,NA,NA,0.00623824475,Incidence:Prevalence ratio,15+ years
2087,Status quo,63170442.5,35671132.5,IncPrevRatio15to49,NA,NA,0.02645094249999999,Incidence:Prevalence ratio,15-49 years
2087,Status quo,63170442.5,35671132.5,NewAdultHIV,NA,NA,10505.7875,New HIV infections,15-49 years
2087,Status quo,63170442.5,35671132.5,NewHIV15to49,NA,NA,4213.403,New HIV infections,15+ years
2087,Status quo,63170442.5,35671132.5,Prev15plus,NA,NA,0.0264131825,HIV prevalence,15+ years
2087,Status quo,63170442.5,35671132.5,Prev15to49,NA,NA,0.00444942574999999,HIV prevalence,15-49 years
2087,Status quo,63170442.5,35671132.5,TotHIV15,NA,NA,1675155.25,Total living with HIV,15+ years
2087,Status quo,63170442.5,35671132.5,TotHIV15to49,NA,NA,159273.85,Total living with HIV,15-49 years
2088,Status quo,63340840,35685320,ARTcoverage15to49,0.7149706,NA,NA,ART coverage,15-49 years
2088,Status quo,63340840,35685320,ARTcoverageAdult,0.7935688,NA,NA,ART coverage,15+ years
2088,Status quo,63340840,35685320,HIVinc15plus,2.373913e-4,NA,NA,HIV incidence,15+ years
2088,Status quo,63340840,35685320,HIVinc15to49,2.080896e-4,NA,NA,HIV incidence,15-49 years
2088,Status quo,63340840,35685320,IncPrevRatio15plus,0.008030174,NA,NA,Incidence:Prevalence ratio,15+ years
2088,Status quo,63340840,35685320,IncPrevRatio15to49,0.03235838,NA,NA,Incidence:Prevalence ratio,15-49 years
2088,Status quo,63340840,35685320,NewAdultHIV,14630.429,NA,NA,New HIV infections,15-49 years
2088,Status quo,63340840,35685320,NewHIV15to49,7377.762,NA,NA,New HIV infections,15+ years
2088,Status quo,63340840,35685320,Prev15plus,0.02841888,NA,NA,HIV prevalence,15+ years
2088,Status quo,63340840,35685320,Prev15to49,0.006260748,NA,NA,HIV prevalence,15-49 years
2088,Status quo,63340840,35685320,TotHIV15,1800102,NA,NA,Total living with HIV,15+ years
2088,Status quo,63340840,35685320,TotHIV15to49,223439.5,NA,NA,Total living with HIV,15-49 years
2088,Status quo,63476042.5,35759960,ARTcoverage15to49,NA,0.7437135500000001,NA,ART coverage,15-49 years
2088,Status quo,63476042.5,35759960,ARTcoverageAdult,NA,0.80205630000000006,NA,ART coverage,15+ years
2088,Status quo,63476042.5,35759960,HIVinc15plus,NA,3.1453345e-4,NA,HIV incidence,15+ years
2088,Status quo,63476042.5,35759960,HIVinc15to49,NA,2.98131675e-4,NA,HIV incidence,15-49 years
2088,Status quo,63476042.5,35759960,IncPrevRatio15plus,NA,0.00955052474999999,NA,Incidence:Prevalence ratio,15+ years
2088,Status quo,63476042.5,35759960,IncPrevRatio15to49,NA,0.0369333525,NA,Incidence:Prevalence ratio,15-49 years
2088,Status quo,63476042.5,35759960,NewAdultHIV,NA,19336.500000000004,NA,New HIV infections,15-49 years
2088,Status quo,63476042.5,35759960,NewHIV15to49,NA,10553.0825,NA,New HIV infections,15+ years
2088,Status quo,63476042.5,35759960,Prev15plus,NA,0.03188319499999999,NA,HIV prevalence,15+ years
2088,Status quo,63476042.5,35759960,Prev15to49,NA,0.0080067265,NA,HIV prevalence,15-49 years
2088,Status quo,63476042.5,35759960,TotHIV15,NA,2021384.5,NA,Total living with HIV,15+ years
2088,Status quo,63476042.5,35759960,TotHIV15to49,NA,285708.625,NA,Total living with HIV,15-49 years
2088,Status quo,63185685,35581765,ARTcoverage15to49,NA,NA,0.691910475,ART coverage,15-49 years
2088,Status quo,63185685,35581765,ARTcoverageAdult,NA,NA,0.78424015,ART coverage,15+ years
2088,Status quo,63185685,35581765,HIVinc15plus,NA,NA,1.611499e-4,HIV incidence,15+ years
2088,Status quo,63185685,35581765,HIVinc15to49,NA,NA,1.11613725e-4,HIV incidence,15-49 years
2088,Status quo,63185685,35581765,IncPrevRatio15plus,NA,NA,0.00624995475,Incidence:Prevalence ratio,15+ years
2088,Status quo,63185685,35581765,IncPrevRatio15to49,NA,NA,0.0265346825,Incidence:Prevalence ratio,15-49 years
2088,Status quo,63185685,35581765,NewAdultHIV,NA,NA,9964.36725,New HIV infections,15-49 years
2088,Status quo,63185685,35581765,NewHIV15to49,NA,NA,3968.507,New HIV infections,15+ years
2088,Status quo,63185685,35581765,Prev15plus,NA,NA,0.024973885,HIV prevalence,15+ years
2088,Status quo,63185685,35581765,Prev15to49,NA,NA,0.00418817825,HIV prevalence,15-49 years
2088,Status quo,63185685,35581765,TotHIV15,NA,NA,1584245.25,Total living with HIV,15+ years
2088,Status quo,63185685,35581765,TotHIV15to49,NA,NA,149542.175,Total living with HIV,15-49 years
2089,Status quo,63349410,35591030,ARTcoverage15to49,0.7142224,NA,NA,ART coverage,15-49 years
2089,Status quo,63349410,35591030,ARTcoverageAdult,0.7933302,NA,NA,ART coverage,15+ years
2089,Status quo,63349410,35591030,HIVinc15plus,2.275003e-4,NA,NA,HIV incidence,15+ years
2089,Status quo,63349410,35591030,HIVinc15to49,2.001065e-4,NA,NA,HIV incidence,15-49 years
2089,Status quo,63349410,35591030,IncPrevRatio15plus,0.008096176,NA,NA,Incidence:Prevalence ratio,15+ years
2089,Status quo,63349410,35591030,IncPrevRatio15to49,0.0325897,NA,NA,Incidence:Prevalence ratio,15-49 years
2089,Status quo,63349410,35591030,NewAdultHIV,14042.58,NA,NA,New HIV infections,15-49 years
2089,Status quo,63349410,35591030,NewHIV15to49,7078.042,NA,NA,New HIV infections,15+ years
2089,Status quo,63349410,35591030,Prev15plus,0.02703391,NA,NA,HIV prevalence,15+ years
2089,Status quo,63349410,35591030,Prev15to49,0.005973912,NA,NA,HIV prevalence,15-49 years
2089,Status quo,63349410,35591030,TotHIV15,1712609,NA,NA,Total living with HIV,15+ years
2089,Status quo,63349410,35591030,TotHIV15to49,212640.3,NA,NA,Total living with HIV,15-49 years
2089,Status quo,63483805,35665405,ARTcoverage15to49,NA,0.7434750999999999,NA,ART coverage,15-49 years
2089,Status quo,63483805,35665405,ARTcoverageAdult,NA,0.8020491000000001,NA,ART coverage,15+ years
2089,Status quo,63483805,35665405,HIVinc15plus,NA,3.0318545e-4,NA,HIV incidence,15+ years
2089,Status quo,63483805,35665405,HIVinc15to49,NA,2.89333075e-4,NA,HIV incidence,15-49 years
2089,Status quo,63483805,35665405,IncPrevRatio15plus,NA,0.00966321574999999,NA,Incidence:Prevalence ratio,15+ years
2089,Status quo,63483805,35665405,IncPrevRatio15to49,NA,0.0372754325,NA,Incidence:Prevalence ratio,15-49 years
2089,Status quo,63483805,35665405,NewAdultHIV,NA,18669.47,NA,New HIV infections,15-49 years
2089,Status quo,63483805,35665405,NewHIV15to49,NA,10217.94475,NA,New HIV infections,15+ years
2089,Status quo,63483805,35665405,Prev15plus,NA,0.0304482375,NA,HIV prevalence,15+ years
2089,Status quo,63483805,35665405,Prev15to49,NA,0.0077013205,NA,HIV prevalence,15-49 years
2089,Status quo,63483805,35665405,TotHIV15,NA,1930031.75,NA,Total living with HIV,15+ years
2089,Status quo,63483805,35665405,TotHIV15to49,NA,274090.60000000003,NA,Total living with HIV,15-49 years
2089,Status quo,63193450,35487620,ARTcoverage15to49,NA,NA,0.690850675,ART coverage,15-49 years
2089,Status quo,63193450,35487620,ARTcoverageAdult,NA,NA,0.7838231,ART coverage,15+ years
2089,Status quo,63193450,35487620,HIVinc15plus,NA,NA,1.52561275e-4,HIV incidence,15+ years
2089,Status quo,63193450,35487620,HIVinc15to49,NA,NA,1.053523e-4,HIV incidence,15-49 years
2089,Status quo,63193450,35487620,IncPrevRatio15plus,NA,NA,0.00626364525,Incidence:Prevalence ratio,15+ years
2089,Status quo,63193450,35487620,IncPrevRatio15to49,NA,NA,0.0266266125,Incidence:Prevalence ratio,15-49 years
2089,Status quo,63193450,35487620,NewAdultHIV,NA,NA,9447.4155,New HIV infections,15-49 years
2089,Status quo,63193450,35487620,NewHIV15to49,NA,NA,3736.793,New HIV infections,15+ years
2089,Status quo,63193450,35487620,Prev15plus,NA,NA,0.0235994775,HIV prevalence,15+ years
2089,Status quo,63193450,35487620,Prev15to49,NA,NA,0.0039405215,HIV prevalence,15-49 years
2089,Status quo,63193450,35487620,TotHIV15,NA,NA,1497221.25,Total living with HIV,15+ years
2089,Status quo,63193450,35487620,TotHIV15to49,NA,NA,140324.075,Total living with HIV,15-49 years
2090,Status quo,63350130,35492460,ARTcoverage15to49,0.7134416,NA,NA,ART coverage,15-49 years
2090,Status quo,63350130,35492460,ARTcoverageAdult,0.7930691,NA,NA,ART coverage,15+ years
2090,Status quo,63350130,35492460,HIVinc15plus,2.180699e-4,NA,NA,HIV incidence,15+ years
2090,Status quo,63350130,35492460,HIVinc15to49,1.9249784e-4,NA,NA,HIV incidence,15-49 years
2090,Status quo,63350130,35492460,IncPrevRatio15plus,0.008166365,NA,NA,Incidence:Prevalence ratio,15+ years
2090,Status quo,63350130,35492460,IncPrevRatio15to49,0.03283049,NA,NA,Incidence:Prevalence ratio,15-49 years
2090,Status quo,63350130,35492460,NewAdultHIV,13478.817,NA,NA,New HIV infections,15-49 years
2090,Status quo,63350130,35492460,NewHIV15to49,6791.952,NA,NA,New HIV infections,15+ years
2090,Status quo,63350130,35492460,Prev15plus,0.02570813,NA,NA,HIV prevalence,15+ years
2090,Status quo,63350130,35492460,Prev15to49,0.005700626,NA,NA,HIV prevalence,15-49 years
2090,Status quo,63350130,35492460,TotHIV15,1628642,NA,NA,Total living with HIV,15+ years
2090,Status quo,63350130,35492460,TotHIV15to49,202351.8,NA,NA,Total living with HIV,15-49 years
2090,Status quo,63483590,35566705,ARTcoverage15to49,NA,0.7432152000000001,NA,ART coverage,15-49 years
2090,Status quo,63483590,35566705,ARTcoverageAdult,NA,0.802030225,NA,ART coverage,15+ years
2090,Status quo,63483590,35566705,HIVinc15plus,NA,2.923369e-4,NA,HIV incidence,15+ years
2090,Status quo,63483590,35566705,HIVinc15to49,NA,2.8092945e-4,NA,HIV incidence,15-49 years
2090,Status quo,63483590,35566705,IncPrevRatio15plus,NA,0.00978561175,NA,Incidence:Prevalence ratio,15+ years
2090,Status quo,63483590,35566705,IncPrevRatio15to49,NA,0.03762751249999999,NA,Incidence:Prevalence ratio,15-49 years
2090,Status quo,63483590,35566705,NewAdultHIV,NA,18027.535,NA,New HIV infections,15-49 years
2090,Status quo,63483590,35566705,NewHIV15to49,NA,9896.812999999998,NA,New HIV infections,15+ years
2090,Status quo,63483590,35566705,Prev15plus,NA,0.029071835,NA,HIV prevalence,15+ years
2090,Status quo,63483590,35566705,Prev15to49,NA,0.007409673,NA,HIV prevalence,15-49 years
2090,Status quo,63483590,35566705,TotHIV15,NA,1842855.75,NA,Total living with HIV,15+ years
2090,Status quo,63483590,35566705,TotHIV15to49,NA,262986.55,NA,Total living with HIV,15-49 years
